Id,SalePrice
1461,169829.28
1462,158163.17
1463,175511.27
1464,179313.78
1465,163542.8
1466,166658.55
1467,161432.56
1468,163084.89
1469,176035.45
1470,164513.12
1471,165965.73
1472,164136.86
1473,167276.84
1474,168128.98
1475,166167.36
1476,168898.94
1477,166015.3
1478,165232.48
1479,162107.06
1480,175015.19
1481,167918.1
1482,163984.31
1483,163687.9
1484,160641.64
1485,164797.5
1486,166190.81
1487,169889.55
1488,174477.73
1489,167156.77
1490,163138.1
1491,160084.95
1492,179497.7
1493,170147.83
1494,180980.94
1495,167892.64
1496,165245.1
1497,178790.75
1498,170695.88
1499,158337.48
1500,162925.08
1501,168190.23
1502,166021.62
1503,184324.47
1504,167965.83
1505,164781.47
1506,168154.95
1507,170365.4
1508,156994.6
1509,165010.12
1510,165551.1
1511,165736.23
1512,167279.08
1513,164209.34
1514,171303.52
1515,169816.81
1516,160765.78
1517,187182.19
1518,167667.67
1519,165127.88
1520,163780.97
1521,164672.3
1522,171439.81
1523,171251.56
1524,171287.17
1525,167199.02
1526,171643.98
1527,162124.06
1528,178287.27
1529,167645.12
1530,170571.55
1531,166466.02
1532,156357.17
1533,171891.66
1534,165334.78
1535,171130.42
1536,164147.19
1537,150999.05
1538,175666.84
1539,149442.52
1540,185866.73
1541,165887.4
1542,163408.72
1543,176699.17
1544,166298.94
1545,170160.17
1546,154494.14
1547,155427.69
1548,169747.67
1549,166740.73
1550,167977.05
1551,169614.81
1552,160480.55
1553,154144.9
1554,173624.89
1555,165988.53
1556,158034.4
1557,154119.33
1558,165680.92
1559,156928.73
1560,161754.95
1561,169866.53
1562,167563.12
1563,164344.55
1564,159944.4
1565,165932.98
1566,180278.62
1567,161912.69
1568,161920.72
1569,164006.52
1570,160961.22
1571,173663.64
1572,171814.47
1573,175505.75
1574,147094.75
1575,168875.58
1576,183347.23
1577,162786.55
1578,157027.55
1579,164028.89
1580,165780.34
1581,164047.97
1582,162998.75
1583,167178.12
1584,169107.81
1585,165949.75
1586,166001.98
1587,156873.38
1588,169659.14
1589,161866.98
1590,167003.64
1591,159781.89
1592,177565.42
1593,163402.8
1594,153624.22
1595,168203.72
1596,168476.16
1597,161667.97
1598,175414.39
1599,162916.69
1600,160299.6
1601,162878.17
1602,161937.7
1603,138024.62
1604,161098.67
1605,167533.89
1606,164115.58
1607,164257.12
1608,168225.05
1609,169982.72
1610,168641.89
1611,197760.98
1612,167552.73
1613,169744.6
1614,159802.9
1615,161766.38
1616,160216.0
1617,175107.52
1618,167160.11
1619,168190.4
1620,166068.97
1621,167665.9
1622,165303.4
1623,165482.75
1624,158886.27
1625,165602.27
1626,166033.02
1627,165842.64
1628,179327.45
1629,173569.25
1630,182635.9
1631,155552.84
1632,167835.81
1633,166994.88
1634,161913.31
1635,165839.48
1636,167122.17
1637,162124.22
1638,172155.8
1639,170638.27
1640,168513.11
1641,170241.0
1642,159424.8
1643,171832.98
1644,156110.14
1645,166659.34
1646,163765.2
1647,164066.28
1648,164157.52
1649,162433.6
1650,167763.16
1651,167502.1
1652,167817.56
1653,170191.66
1654,168676.62
1655,173088.73
1656,164068.62
1657,169643.94
1658,163672.61
1659,165460.34
1660,168156.88
1661,161765.45
1662,173537.81
1663,165912.1
1664,147151.44
1665,172031.72
1666,162226.77
1667,177851.84
1668,159392.27
1669,165921.27
1670,160992.23
1671,171863.8
1672,168975.14
1673,166785.9
1674,170513.33
1675,165962.1
1676,163502.4
1677,167425.75
1678,180739.47
1679,172498.28
1680,164959.16
1681,165114.97
1682,173358.83
1683,169246.56
1684,166605.31
1685,162309.39
1686,161726.11
1687,175466.92
1688,163060.94
1689,164739.67
1690,162542.98
1691,162083.88
1692,162880.66
1693,158650.22
1694,164354.58
1695,161341.9
1696,165251.7
1697,165833.31
1698,165543.98
1699,151169.22
1700,164685.02
1701,164637.12
1702,166799.58
1703,165781.3
1704,164743.77
1705,166724.83
1706,164199.64
1707,169483.19
1708,161516.48
1709,164576.69
1710,166094.0
1711,164837.75
1712,164342.52
1713,163109.62
1714,163895.03
1715,165319.17
1716,166804.03
1717,167851.81
1718,166540.02
1719,169758.84
1720,169967.81
1721,169054.12
1722,167047.28
1723,164608.23
1724,165863.36
1725,166296.08
1726,153419.53
1727,161660.58
1728,160500.45
1729,167009.53
1730,168770.12
1731,160147.1
1732,170134.69
1733,162854.56
1734,166123.78
1735,160438.02
1736,169891.97
1737,165049.95
1738,149351.05
1739,192368.16
1740,191978.33
1741,168124.97
1742,165384.92
1743,164030.92
1744,158984.48
1745,184284.39
1746,174647.38
1747,170087.16
1748,164991.4
1749,161754.03
1750,172118.36
1751,172743.25
1752,162940.0
1753,166969.08
1754,175642.89
1755,171291.9
1756,166271.34
1757,163821.6
1758,163173.56
1759,159285.73
1760,160418.12
1761,173848.23
1762,159732.06
1763,168043.53
