real data,predict data
145.99999800859953,148.98497
138.99999701289929,163.36559
133.99999933619983,151.32452
150.99999568529898,145.7145
146.56000106208026,167.19762
131.96000869578205,171.20784
150.96000836388197,131.55255
134.96000305348073,169.69675
169.96000803198189,137.13814
171.96001135098268,195.2976
203.00000763370178,187.25189
203.9999986723997,230.06018
210.80000995700235,217.61757
207.79999435769867,209.94743
230.80000066380015,202.52788
231.80001294410306,228.17706
217.8000109527026,229.79424
187.00000232330055,203.25812
194.00000331900077,163.54059
194.00000331900077,176.53043
187.00000232330055,189.77296
141.00000033190008,180.89087
152.99999900429975,130.47635
155.8500063890765,162.2311
135.00000099570025,176.90378
139.9999986723997,137.25221
160.0,154.33553
126.99999834049962,196.69948
145.99999800859953,125.019035
151.99999734479937,158.70189
157.99999668099923,189.3653
258.0000139398033,193.71236
517.9999780945949,375.9736
809.000025556306,817.03015
832.9999804178954,816.8314
851.0000315305074,865.61743
785.9999555253895,769.44604
801.0000122803029,806.7542
796.3199768997546,822.4358
806.3200147363634,790.8109
781.3200051112613,778.14655
639.9999893791975,653.94586
389.99997809459484,424.25067
348.99998440069635,314.72458
283.99999336199846,271.48322
268.5200037836609,238.87675
217.52000411556097,218.61278
183.88999769329445,200.20374
192.0,189.6386
185.99999004299767,190.66443
187.00000232330055,187.6078
169.9999953533989,191.56639
175.52000876216206,175.8283
173.5200054431613,161.43163
225.99999269819827,169.19011
258.9999837368962,382.34885
514.9999837368962,450.086
790.000004646601,747.4355
845.3200263528662,801.0366
866.3199868567569,882.7319
750.3200067707616,782.8014
801.0000122803029,822.57104
809.000025556306,808.6072
801.9999820773958,782.0655
792.400051112612,762.73456
664.400008629402,676.50006
431.3999936938985,464.02728
381.39997444369396,348.58868
284.3999727841936,301.63815
275.00001028890244,258.63004
237.00001095270258,235.2099
207.84999709587433,208.47119
165.99999933619983,205.97661
194.00000331900077,192.10861
145.99999800859953,193.50851
176.99999634909915,182.63124
164.99999767669945,183.39955
169.00000431470102,165.85927
201.00000431470102,179.09186
264.0000026552006,333.3297
513.0000016595004,477.72565
809.000025556306,771.9487
854.0000258882061,795.28925
882.0000298710071,899.94275
770.9999837368962,795.8485
830.9999558572896,844.1036
849.9999767669946,821.8135
832.0000106208025,802.48865
799.99995751679,792.59924
693.0000029871007,714.0075
455.9999814135956,471.78198
380.9999950214988,369.28384
303.99998406879627,310.22412
244.9999817454957,264.6769
220.00000398280093,225.73326
163.86999739458437,208.38219
196.00000663800157,192.74335
175.99999468959874,198.13553
169.9999953533989,191.94437
170.99999701289929,190.96751
169.9999953533989,179.01846
164.99999767669945,169.0151
203.9999986723997,171.77069
275.00001028890244,319.3207
536.9999990042998,502.6005
809.000025556306,800.83887
815.0000142717033,810.2479
837.9999993361998,872.3391
743.9999495511881,769.13904
785.9999555253895,829.9422
773.9999780945949,805.73724
778.7599668763722,780.24963
753.75995725127,740.07043
593.7599891136774,637.4613
349.76000902768214,409.39395
313.99997942219517,309.20694
244.0000119484028,258.30838
230.99999037489772,227.68315
189.00000564230132,212.36266
210.88000584144137,190.31552
161.00000165950038,191.96735
155.67998858263732,184.75043
152.67999422493864,173.7995
150.67999090593787,171.8802
151.99999734479937,167.1879
